Distance (Km),Longitude,Latitude,MOLA 128ppd Elevation
5.446,73.295,20.957,-287
5.46,73.295,20.957,-287
5.475,73.296,20.957,-287
5.49,73.296,20.957,-287
5.505,73.296,20.958,-287
5.52,73.296,20.958,-287
5.535,73.296,20.958,-287
5.55,73.296,20.958,-287
5.565,73.296,20.959,-287
5.58,73.296,20.959,-287
5.595,73.296,20.959,-287
5.61,73.296,20.959,-287
5.625,73.296,20.96,-287
5.64,73.296,20.96,-287
5.655,73.296,20.96,-287
5.67,73.296,20.96,-287
5.685,73.296,20.961,-287
5.7,73.296,20.961,-262
5.715,73.296,20.961,-262
5.73,73.296,20.961,-262
5.744,73.296,20.962,-262
5.759,73.296,20.962,-262
5.774,73.296,20.962,-262
5.789,73.296,20.962,-262
5.804,73.296,20.963,-262
5.819,73.296,20.963,-262
5.834,73.296,20.963,-262
5.849,73.296,20.963,-262
5.864,73.296,20.964,-262
5.879,73.296,20.964,-262
5.894,73.296,20.964,-262
5.909,73.296,20.964,-262
5.924,73.296,20.965,-262
5.939,73.296,20.965,-262
5.954,73.296,20.965,-262
5.969,73.296,20.965,-262
5.984,73.296,20.966,-262
5.999,73.296,20.966,-262
6.013,73.296,20.966,-262
6.028,73.296,20.966,-262
6.043,73.296,20.967,-262
6.058,73.296,20.967,-262
6.073,73.296,20.967,-262
6.088,73.296,20.967,-262
6.103,73.296,20.968,-262
6.118,73.296,20.968,-262
6.133,73.297,20.968,-262
6.148,73.297,20.969,-262
6.163,73.297,20.969,-215
6.178,73.297,20.969,-215
6.193,73.297,20.969,-215
6.208,73.297,20.97,-215
6.223,73.296,20.97,-215
6.237,73.296,20.97,-215
6.252,73.296,20.97,-215
6.267,73.296,20.97,-215
6.281,73.296,20.971,-215
6.296,73.296,20.971,-215
6.311,73.296,20.971,-215
6.326,73.296,20.971,-215
6.34,73.296,20.972,-215
6.355,73.295,20.972,-215
6.37,73.295,20.972,-215
6.385,73.295,20.972,-215
6.399,73.295,20.972,-215
6.414,73.295,20.973,-215
6.429,73.295,20.973,-215
6.444,73.295,20.973,-215
6.458,73.295,20.973,-215
6.473,73.294,20.974,-215
6.488,73.294,20.974,-215
6.503,73.294,20.974,-215
6.517,73.294,20.974,-215
6.532,73.294,20.974,-215
6.547,73.294,20.975,-215
6.562,73.294,20.975,-215
6.576,73.294,20.975,-215
6.591,73.294,20.975,-215
6.606,73.293,20.976,-215
6.621,73.293,20.976,-215
6.635,73.293,20.976,-215
6.65,73.293,20.976,-215
6.665,73.293,20.976,-215
6.68,73.293,20.977,-150
6.694,73.293,20.977,-150
6.709,73.293,20.977,-150
6.724,73.292,20.977,-150
6.739,73.292,20.978,-150
6.753,73.292,20.978,-150
6.768,73.292,20.978,-150
6.783,73.292,20.978,-150
6.798,73.292,20.978,-150
6.812,73.292,20.979,-150
6.827,73.292,20.979,-150
6.842,73.292,20.979,-150
6.856,73.291,20.979,-150
6.871,73.291,20.98,-150
6.886,73.291,20.98,-150
6.901,73.291,20.98,-150
6.915,73.291,20.98,-150
6.93,73.291,20.98,-150
6.945,73.291,20.981,-150
6.96,73.291,20.981,-150
6.974,73.29,20.981,-150
6.989,73.29,20.981,-150
7.004,73.29,20.982,-150
7.019,73.29,20.982,-150
7.033,73.29,20.982,-150
7.048,73.29,20.982,-150
7.063,73.29,20.982,-150
7.078,73.29,20.983,-150
7.092,73.29,20.983,-150
7.107,73.289,20.983,-150
7.122,73.289,20.983,-150
7.137,73.289,20.984,-150
7.151,73.289,20.984,-156
7.166,73.289,20.984,-156
7.181,73.289,20.984,-156
7.196,73.289,20.985,-29
7.21,73.289,20.985,-29
7.225,73.288,20.985,-29
7.24,73.288,20.985,-29
7.255,73.288,20.985,-29
7.269,73.288,20.986,-29
7.284,73.288,20.986,-29
7.299,73.288,20.986,-29
7.314,73.288,20.986,-29
7.328,73.288,20.987,-29
7.343,73.288,20.987,-29
7.358,73.287,20.987,-29
7.373,73.287,20.987,-29
7.387,73.287,20.987,-29
7.402,73.287,20.988,-29
7.417,73.287,20.988,-29
7.431,73.287,20.988,-29
7.446,73.287,20.988,-29
7.461,73.287,20.989,-29
7.476,73.286,20.989,-29
7.49,73.286,20.989,-29
7.505,73.286,20.989,-29
7.52,73.286,20.989,-29
7.535,73.286,20.99,-29
7.549,73.286,20.99,-29
7.564,73.286,20.99,-29
7.579,73.286,20.99,-29
7.594,73.286,20.991,-29
7.608,73.285,20.991,-29
7.623,73.285,20.991,-29
7.638,73.285,20.991,-29
7.652,73.285,20.991,-29
7.666,73.285,20.991,-29
7.68,73.284,20.991,-29
7.694,73.284,20.991,-29
7.708,73.284,20.991,-29
7.722,73.284,20.991,-29
7.736,73.283,20.991,-29
7.75,73.283,20.991,-29
7.764,73.283,20.991,-29
7.778,73.283,20.991,-29
7.792,73.282,20.991,-29
7.806,73.282,20.991,-29
7.82,73.282,20.991,-29
7.834,73.282,20.991,-29
7.848,73.281,20.991,-29
7.862,73.281,20.991,-145
7.876,73.281,20.991,-145
7.89,73.281,20.991,-145
7.904,73.28,20.991,-145
7.917,73.28,20.991,-145
7.931,73.28,20.99,-145
7.945,73.28,20.99,-145
7.959,73.279,20.99,-145
7.973,73.279,20.99,-145
7.987,73.279,20.99,-145
8.001,73.279,20.99,-145
8.015,73.278,20.99,-145
8.029,73.278,20.99,-145
8.043,73.278,20.99,-145
8.057,73.278,20.99,-145
8.071,73.277,20.99,-145
